#Saved Data from the class confocal_logic on 27.04.2022 at 11h42m41s.
#
#Parameters:
#===========
#
#X offset (m): 8.2699162650885160e-06
#X image range (m): 1.4999999999999999e-05
#Y offset (m): 2.0085402846484474e-05
#Y image range (m): 1.4999999999999999e-05
#XY resolution (samples per range): 100
#XY Image at z position (m): 3.6252608040400536e-07
#Clock frequency of scanner (Hz): 200
#Return Slowness (Steps during retrace line): 20
#
#Data:
#=====
#x position (m)	y position (m)	z position (m)	count rate /Dev1/Ctr0 (Hz)	
1.424864e-05	2.008872e-05	3.062312e-07	4.000000e+02
1.440016e-05	2.008872e-05	3.062312e-07	4.000000e+02
1.455167e-05	2.008872e-05	3.062312e-07	1.000000e+03
1.470319e-05	2.008872e-05	3.062312e-07	4.000000e+02
1.485470e-05	2.008872e-05	3.062312e-07	0.000000e+00
1.500622e-05	2.008872e-05	3.062312e-07	0.000000e+00
1.515773e-05	2.008872e-05	3.062312e-07	2.000000e+02
1.530925e-05	2.008872e-05	3.062312e-07	4.000000e+02
1.546077e-05	2.008872e-05	3.062312e-07	2.000000e+02
1.561228e-05	2.008872e-05	3.062312e-07	8.000000e+02
1.576380e-05	2.008872e-05	3.062312e-07	2.000000e+02
1.591531e-05	2.008872e-05	3.062312e-07	0.000000e+00
1.606683e-05	2.008872e-05	3.062312e-07	6.000000e+02
1.621834e-05	2.008872e-05	3.062312e-07	2.000000e+02
1.218341e-06	2.024023e-05	3.062312e-07	0.000000e+00
1.369856e-06	2.024023e-05	3.062312e-07	0.000000e+00
1.521371e-06	2.024023e-05	3.062312e-07	2.000000e+02
1.672886e-06	2.024023e-05	3.062312e-07	0.000000e+00
1.824401e-06	2.024023e-05	3.062312e-07	4.000000e+02
1.975917e-06	2.024023e-05	3.062312e-07	6.000000e+02
2.127432e-06	2.024023e-05	3.062312e-07	0.000000e+00
2.278947e-06	2.024023e-05	3.062312e-07	6.000000e+02
2.430462e-06	2.024023e-05	3.062312e-07	0.000000e+00
2.581977e-06	2.024023e-05	3.062312e-07	4.000000e+02
2.733492e-06	2.024023e-05	3.062312e-07	2.000000e+02
2.885008e-06	2.024023e-05	3.062312e-07	4.000000e+02
3.036523e-06	2.024023e-05	3.062312e-07	2.000000e+02
3.188038e-06	2.024023e-05	3.062312e-07	2.000000e+02
3.339553e-06	2.024023e-05	3.062312e-07	4.000000e+02
3.491068e-06	2.024023e-05	3.062312e-07	2.000000e+02
3.642583e-06	2.024023e-05	3.062312e-07	6.000000e+02
3.794098e-06	2.024023e-05	3.062312e-07	6.000000e+02
3.945614e-06	2.024023e-05	3.062312e-07	2.000000e+02
4.097129e-06	2.024023e-05	3.062312e-07	6.000000e+02
4.248644e-06	2.024023e-05	3.062312e-07	4.000000e+02
4.400159e-06	2.024023e-05	3.062312e-07	8.000000e+02
4.551674e-06	2.024023e-05	3.062312e-07	8.000000e+02
4.703189e-06	2.024023e-05	3.062312e-07	1.400000e+03
4.854705e-06	2.024023e-05	3.062312e-07	1.400000e+03
5.006220e-06	2.024023e-05	3.062312e-07	2.200000e+03
5.157735e-06	2.024023e-05	3.062312e-07	2.600000e+03
5.309250e-06	2.024023e-05	3.062312e-07	2.000000e+03
5.460765e-06	2.024023e-05	3.062312e-07	1.200000e+03
5.612280e-06	2.024023e-05	3.062312e-07	2.000000e+03
5.763795e-06	2.024023e-05	3.062312e-07	1.600000e+03
5.915311e-06	2.024023e-05	3.062312e-07	2.000000e+03
6.066826e-06	2.024023e-05	3.062312e-07	1.200000e+03
6.218341e-06	2.024023e-05	3.062312e-07	4.000000e+02
6.369856e-06	2.024023e-05	3.062312e-07	8.000000e+02
6.521371e-06	2.024023e-05	3.062312e-07	1.000000e+03
6.672886e-06	2.024023e-05	3.062312e-07	1.200000e+03
6.824401e-06	2.024023e-05	3.062312e-07	8.000000e+02
6.975917e-06	2.024023e-05	3.062312e-07	4.000000e+02
7.127432e-06	2.024023e-05	3.062312e-07	6.000000e+02
7.278947e-06	2.024023e-05	3.062312e-07	1.000000e+03
7.430462e-06	2.024023e-05	3.062312e-07	6.000000e+02
7.581977e-06	2.024023e-05	3.062312e-07	2.000000e+02
7.733492e-06	2.024023e-05	3.062312e-07	2.200000e+03
7.885008e-06	2.024023e-05	3.062312e-07	1.200000e+03
8.036523e-06	2.024023e-05	3.062312e-07	1.800000e+03
8.188038e-06	2.024023e-05	3.062312e-07	3.000000e+03
8.339553e-06	2.024023e-05	3.062312e-07	4.000000e+03
8.491068e-06	2.024023e-05	3.062312e-07	6.800000e+03
8.642583e-06	2.024023e-05	3.062312e-07	6.400000e+03
8.794098e-06	2.024023e-05	3.062312e-07	3.400000e+03
8.945614e-06	2.024023e-05	3.062312e-07	1.200000e+03
9.097129e-06	2.024023e-05	3.062312e-07	1.200000e+03
9.248644e-06	2.024023e-05	3.062312e-07	1.200000e+03
9.400159e-06	2.024023e-05	3.062312e-07	8.000000e+02
9.551674e-06	2.024023e-05	3.062312e-07	6.000000e+02
9.703189e-06	2.024023e-05	3.062312e-07	1.000000e+03
9.854705e-06	2.024023e-05	3.062312e-07	8.000000e+02
1.000622e-05	2.024023e-05	3.062312e-07	4.000000e+02
1.015773e-05	2.024023e-05	3.062312e-07	6.000000e+02
1.030925e-05	2.024023e-05	3.062312e-07	1.600000e+03
1.046077e-05	2.024023e-05	3.062312e-07	8.000000e+02
1.061228e-05	2.024023e-05	3.062312e-07	2.200000e+03
1.076380e-05	2.024023e-05	3.062312e-07	3.000000e+03
1.091531e-05	2.024023e-05	3.062312e-07	2.400000e+03
1.106683e-05	2.024023e-05	3.062312e-07	3.200000e+03
1.121834e-05	2.024023e-05	3.062312e-07	4.600000e+03
1.136986e-05	2.024023e-05	3.062312e-07	3.600000e+03
1.152137e-05	2.024023e-05	3.062312e-07	3.200000e+03
1.167289e-05	2.024023e-05	3.062312e-07	1.800000e+03
1.182440e-05	2.024023e-05	3.062312e-07	1.000000e+03
1.197592e-05	2.024023e-05	3.062312e-07	8.000000e+02
1.212743e-05	2.024023e-05	3.062312e-07	6.000000e+02
1.227895e-05	2.024023e-05	3.062312e-07	8.000000e+02
1.243046e-05	2.024023e-05	3.062312e-07	2.000000e+02
1.258198e-05	2.024023e-05	3.062312e-07	4.000000e+02
1.273349e-05	2.024023e-05	3.062312e-07	2.000000e+02
1.288501e-05	2.024023e-05	3.062312e-07	6.000000e+02
1.303652e-05	2.024023e-05	3.062312e-07	6.000000e+02
1.318804e-05	2.024023e-05	3.062312e-07	4.000000e+02
1.333955e-05	2.024023e-05	3.062312e-07	6.000000e+02
1.349107e-05	2.024023e-05	3.062312e-07	0.000000e+00
1.364258e-05	2.024023e-05	3.062312e-07	8.000000e+02
1.379410e-05	2.024023e-05	3.062312e-07	2.000000e+02
1.394561e-05	2.024023e-05	3.062312e-07	2.000000e+02
1.409713e-05	2.024023e-05	3.062312e-07	0.000000e+00
1.424864e-05	2.024023e-05	3.062312e-07	0.000000e+00
1.440016e-05	2.024023e-05	3.062312e-07	4.000000e+02
1.455167e-05	2.024023e-05	3.062312e-07	2.000000e+02
1.470319e-05	2.024023e-05	3.062312e-07	2.000000e+02
1.485470e-05	2.024023e-05	3.062312e-07	4.000000e+02
1.500622e-05	2.024023e-05	3.062312e-07	2.000000e+02
1.515773e-05	2.024023e-05	3.062312e-07	6.000000e+02
1.530925e-05	2.024023e-05	3.062312e-07	4.000000e+02
1.546077e-05	2.024023e-05	3.062312e-07	4.000000e+02
1.561228e-05	2.024023e-05	3.062312e-07	0.000000e+00
1.576380e-05	2.024023e-05	3.062312e-07	0.000000e+00
1.591531e-05	2.024023e-05	3.062312e-07	8.000000e+02
1.606683e-05	2.024023e-05	3.062312e-07	6.000000e+02
1.621834e-05	2.024023e-05	3.062312e-07	4.000000e+02
1.218341e-06	2.039175e-05	3.062312e-07	0.000000e+00
1.369856e-06	2.039175e-05	3.062312e-07	0.000000e+00
1.521371e-06	2.039175e-05	3.062312e-07	0.000000e+00
1.672886e-06	2.039175e-05	3.062312e-07	0.000000e+00
1.824401e-06	2.039175e-05	3.062312e-07	2.000000e+02
1.975917e-06	2.039175e-05	3.062312e-07	6.000000e+02
2.127432e-06	2.039175e-05	3.062312e-07	6.000000e+02
2.278947e-06	2.039175e-05	3.062312e-07	8.000000e+02
2.430462e-06	2.039175e-05	3.062312e-07	4.000000e+02
2.581977e-06	2.039175e-05	3.062312e-07	0.000000e+00
2.733492e-06	2.039175e-05	3.062312e-07	2.000000e+02
2.885008e-06	2.039175e-05	3.062312e-07	2.000000e+02
3.036523e-06	2.039175e-05	3.062312e-07	2.000000e+02
3.188038e-06	2.039175e-05	3.062312e-07	6.000000e+02
3.339553e-06	2.039175e-05	3.062312e-07	2.000000e+02
3.491068e-06	2.039175e-05	3.062312e-07	0.000000e+00
3.642583e-06	2.039175e-05	3.062312e-07	2.000000e+02
3.794098e-06	2.039175e-05	3.062312e-07	6.000000e+02
3.945614e-06	2.039175e-05	3.062312e-07	0.000000e+00
4.097129e-06	2.039175e-05	3.062312e-07	4.000000e+02
4.248644e-06	2.039175e-05	3.062312e-07	4.000000e+02
4.400159e-06	2.039175e-05	3.062312e-07	1.000000e+03
4.551674e-06	2.039175e-05	3.062312e-07	1.200000e+03
4.703189e-06	2.039175e-05	3.062312e-07	2.200000e+03
4.854705e-06	2.039175e-05	3.062312e-07	2.400000e+03
5.006220e-06	2.039175e-05	3.062312e-07	1.800000e+03
5.157735e-06	2.039175e-05	3.062312e-07	3.200000e+03
5.309250e-06	2.039175e-05	3.062312e-07	1.200000e+03
5.460765e-06	2.039175e-05	3.062312e-07	1.200000e+03
5.612280e-06	2.039175e-05	3.062312e-07	1.400000e+03
5.763795e-06	2.039175e-05	3.062312e-07	2.000000e+03
5.915311e-06	2.039175e-05	3.062312e-07	4.000000e+02
6.066826e-06	2.039175e-05	3.062312e-07	0.000000e+00
6.218341e-06	2.039175e-05	3.062312e-07	1.200000e+03
6.369856e-06	2.039175e-05	3.062312e-07	6.000000e+02
6.521371e-06	2.039175e-05	3.062312e-07	8.000000e+02
6.672886e-06	2.039175e-05	3.062312e-07	6.000000e+02
6.824401e-06	2.039175e-05	3.062312e-07	6.000000e+02
6.975917e-06	2.039175e-05	3.062312e-07	8.000000e+02
7.127432e-06	2.039175e-05	3.062312e-07	1.600000e+03
7.278947e-06	2.039175e-05	3.062312e-07	1.400000e+03
7.430462e-06	2.039175e-05	3.062312e-07	8.000000e+02
7.581977e-06	2.039175e-05	3.062312e-07	1.200000e+03
7.733492e-06	2.039175e-05	3.062312e-07	2.000000e+03
7.885008e-06	2.039175e-05	3.062312e-07	1.200000e+03
8.036523e-06	2.039175e-05	3.062312e-07	1.400000e+03
8.188038e-06	2.039175e-05	3.062312e-07	3.600000e+03
8.339553e-06	2.039175e-05	3.062312e-07	4.600000e+03
8.491068e-06	2.039175e-05	3.062312e-07	3.600000e+03
8.642583e-06	2.039175e-05	3.062312e-07	2.400000e+03
8.794098e-06	2.039175e-05	3.062312e-07	2.800000e+03
8.945614e-06	2.039175e-05	3.062312e-07	8.000000e+02
9.097129e-06	2.039175e-05	3.062312e-07	1.000000e+03
9.248644e-06	2.039175e-05	3.062312e-07	0.000000e+00
9.400159e-06	2.039175e-05	3.062312e-07	6.000000e+02
9.551674e-06	2.039175e-05	3.062312e-07	2.000000e+02
9.703189e-06	2.039175e-05	3.062312e-07	1.400000e+03
9.854705e-06	2.039175e-05	3.062312e-07	8.000000e+02
1.000622e-05	2.039175e-05	3.062312e-07	1.200000e+03
1.015773e-05	2.039175e-05	3.062312e-07	6.000000e+02
1.030925e-05	2.039175e-05	3.062312e-07	6.000000e+02
1.046077e-05	2.039175e-05	3.062312e-07	2.400000e+03
1.061228e-05	2.039175e-05	3.062312e-07	1.400000e+03
1.076380e-05	2.039175e-05	3.062312e-07	2.600000e+03
1.091531e-05	2.039175e-05	3.062312e-07	3.600000e+03
1.106683e-05	2.039175e-05	3.062312e-07	3.800000e+03
1.121834e-05	2.039175e-05	3.062312e-07	5.400000e+03
1.136986e-05	2.039175e-05	3.062312e-07	6.200000e+03
1.152137e-05	2.039175e-05	3.062312e-07	3.200000e+03
1.167289e-05	2.039175e-05	3.062312e-07	4.000000e+02
1.182440e-05	2.039175e-05	3.062312e-07	4.000000e+02
1.197592e-05	2.039175e-05	3.062312e-07	6.000000e+02
1.212743e-05	2.039175e-05	3.062312e-07	4.000000e+02
1.227895e-05	2.039175e-05	3.062312e-07	2.000000e+02
1.243046e-05	2.039175e-05	3.062312e-07	2.000000e+02
1.258198e-05	2.039175e-05	3.062312e-07	0.000000e+00
1.273349e-05	2.039175e-05	3.062312e-07	4.000000e+02
1.288501e-05	2.039175e-05	3.062312e-07	4.000000e+02
1.303652e-05	2.039175e-05	3.062312e-07	2.000000e+02
1.318804e-05	2.039175e-05	3.062312e-07	2.000000e+02
1.333955e-05	2.039175e-05	3.062312e-07	4.000000e+02
1.349107e-05	2.039175e-05	3.062312e-07	2.000000e+02
1.364258e-05	2.039175e-05	3.062312e-07	2.000000e+02
1.379410e-05	2.039175e-05	3.062312e-07	2.000000e+02
1.394561e-05	2.039175e-05	3.062312e-07	6.000000e+02
1.409713e-05	2.039175e-05	3.062312e-07	4.000000e+02
1.424864e-05	2.039175e-05	3.062312e-07	2.000000e+02
1.440016e-05	2.039175e-05	3.062312e-07	4.000000e+02
1.455167e-05	2.039175e-05	3.062312e-07	4.000000e+02
1.470319e-05	2.039175e-05	3.062312e-07	4.000000e+02
1.485470e-05	2.039175e-05	3.062312e-07	4.000000e+02
1.500622e-05	2.039175e-05	3.062312e-07	8.000000e+02
1.515773e-05	2.039175e-05	3.062312e-07	0.000000e+00
1.530925e-05	2.039175e-05	3.062312e-07	0.000000e+00
1.546077e-05	2.039175e-05	3.062312e-07	6.000000e+02
1.561228e-05	2.039175e-05	3.062312e-07	2.000000e+02
1.576380e-05	2.039175e-05	3.062312e-07	4.000000e+02
1.591531e-05	2.039175e-05	3.062312e-07	0.000000e+00
1.606683e-05	2.039175e-05	3.062312e-07	4.000000e+02
1.621834e-05	2.039175e-05	3.062312e-07	2.000000e+02
1.218341e-06	2.054327e-05	3.062312e-07	0.000000e+00
1.369856e-06	2.054327e-05	3.062312e-07	4.000000e+02
1.521371e-06	2.054327e-05	3.062312e-07	2.000000e+02
1.672886e-06	2.054327e-05	3.062312e-07	4.000000e+02
1.824401e-06	2.054327e-05	3.062312e-07	0.000000e+00
1.975917e-06	2.054327e-05	3.062312e-07	0.000000e+00
2.127432e-06	2.054327e-05	3.062312e-07	0.000000e+00
2.278947e-06	2.054327e-05	3.062312e-07	2.000000e+02
2.430462e-06	2.054327e-05	3.062312e-07	2.000000e+02
2.581977e-06	2.054327e-05	3.062312e-07	4.000000e+02
2.733492e-06	2.054327e-05	3.062312e-07	2.000000e+02
2.885008e-06	2.054327e-05	3.062312e-07	2.000000e+02
3.036523e-06	2.054327e-05	3.062312e-07	0.000000e+00
3.188038e-06	2.054327e-05	3.062312e-07	4.000000e+02
3.339553e-06	2.054327e-05	3.062312e-07	8.000000e+02
3.491068e-06	2.054327e-05	3.062312e-07	4.000000e+02
3.642583e-06	2.054327e-05	3.062312e-07	8.000000e+02
3.794098e-06	2.054327e-05	3.062312e-07	6.000000e+02
3.945614e-06	2.054327e-05	3.062312e-07	8.000000e+02
4.097129e-06	2.054327e-05	3.062312e-07	6.000000e+02
4.248644e-06	2.054327e-05	3.062312e-07	6.000000e+02
4.400159e-06	2.054327e-05	3.062312e-07	1.000000e+03
4.551674e-06	2.054327e-05	3.062312e-07	1.000000e+03
4.703189e-06	2.054327e-05	3.062312e-07	8.000000e+02
4.854705e-06	2.054327e-05	3.062312e-07	2.000000e+03
5.006220e-06	2.054327e-05	3.062312e-07	1.800000e+03
5.157735e-06	2.054327e-05	3.062312e-07	1.800000e+03
5.309250e-06	2.054327e-05	3.062312e-07	2.000000e+03
5.460765e-06	2.054327e-05	3.062312e-07	1.000000e+03
5.612280e-06	2.054327e-05	3.062312e-07	2.000000e+03
5.763795e-06	2.054327e-05	3.062312e-07	6.000000e+02
5.915311e-06	2.054327e-05	3.062312e-07	1.600000e+03
6.066826e-06	2.054327e-05	3.062312e-07	6.000000e+02
6.218341e-06	2.054327e-05	3.062312e-07	1.000000e+03
6.369856e-06	2.054327e-05	3.062312e-07	4.000000e+02
6.521371e-06	2.054327e-05	3.062312e-07	1.000000e+03
6.672886e-06	2.054327e-05	3.062312e-07	8.000000e+02
6.824401e-06	2.054327e-05	3.062312e-07	1.200000e+03
6.975917e-06	2.054327e-05	3.062312e-07	1.200000e+03
7.127432e-06	2.054327e-05	3.062312e-07	8.000000e+02
7.278947e-06	2.054327e-05	3.062312e-07	2.000000e+02
7.430462e-06	2.054327e-05	3.062312e-07	8.000000e+02
7.581977e-06	2.054327e-05	3.062312e-07	4.000000e+02
7.733492e-06	2.054327e-05	3.062312e-07	8.000000e+02
7.885008e-06	2.054327e-05	3.062312e-07	1.400000e+03
8.036523e-06	2.054327e-05	3.062312e-07	1.600000e+03
8.188038e-06	2.054327e-05	3.062312e-07	3.600000e+03
8.339553e-06	2.054327e-05	3.062312e-07	4.200000e+03
8.491068e-06	2.054327e-05	3.062312e-07	2.800000e+03
8.642583e-06	2.054327e-05	3.062312e-07	2.800000e+03
8.794098e-06	2.054327e-05	3.062312e-07	2.400000e+03
8.945614e-06	2.054327e-05	3.062312e-07	2.600000e+03
9.097129e-06	2.054327e-05	3.062312e-07	1.600000e+03
9.248644e-06	2.054327e-05	3.062312e-07	6.000000e+02
9.400159e-06	2.054327e-05	3.062312e-07	1.000000e+03
9.551674e-06	2.054327e-05	3.062312e-07	6.000000e+02
9.703189e-06	2.054327e-05	3.062312e-07	6.000000e+02
9.854705e-06	2.054327e-05	3.062312e-07	6.000000e+02
1.000622e-05	2.054327e-05	3.062312e-07	6.000000e+02
1.015773e-05	2.054327e-05	3.062312e-07	1.800000e+03
1.030925e-05	2.054327e-05	3.062312e-07	8.000000e+02
1.046077e-05	2.054327e-05	3.062312e-07	2.200000e+03
1.061228e-05	2.054327e-05	3.062312e-07	6.000000e+02
1.076380e-05	2.054327e-05	3.062312e-07	1.800000e+03
1.091531e-05	2.054327e-05	3.062312e-07	2.800000e+03
1.106683e-05	2.054327e-05	3.062312e-07	3.800000e+03
1.121834e-05	2.054327e-05	3.062312e-07	3.200000e+03
1.136986e-05	2.054327e-05	3.062312e-07	2.800000e+03
1.152137e-05	2.054327e-05	3.062312e-07	3.000000e+03
1.167289e-05	2.054327e-05	3.062312e-07	6.000000e+02
1.182440e-05	2.054327e-05	3.062312e-07	6.000000e+02
1.197592e-05	2.054327e-05	3.062312e-07	0.000000e+00
1.212743e-05	2.054327e-05	3.062312e-07	6.000000e+02
1.227895e-05	2.054327e-05	3.062312e-07	6.000000e+02
1.243046e-05	2.054327e-05	3.062312e-07	2.000000e+02
1.258198e-05	2.054327e-05	3.062312e-07	4.000000e+02
1.273349e-05	2.054327e-05	3.062312e-07	4.000000e+02
1.288501e-05	2.054327e-05	3.062312e-07	2.000000e+02
1.303652e-05	2.054327e-05	3.062312e-07	4.000000e+02
1.318804e-05	2.054327e-05	3.062312e-07	6.000000e+02
1.333955e-05	2.054327e-05	3.062312e-07	8.000000e+02
1.349107e-05	2.054327e-05	3.062312e-07	2.000000e+02
1.364258e-05	2.054327e-05	3.062312e-07	6.000000e+02
1.379410e-05	2.054327e-05	3.062312e-07	4.000000e+02
1.394561e-05	2.054327e-05	3.062312e-07	4.000000e+02
1.409713e-05	2.054327e-05	3.062312e-07	6.000000e+02
1.424864e-05	2.054327e-05	3.062312e-07	2.000000e+02
1.440016e-05	2.054327e-05	3.062312e-07	0.000000e+00
1.455167e-05	2.054327e-05	3.062312e-07	0.000000e+00
1.470319e-05	2.054327e-05	3.062312e-07	6.000000e+02
1.485470e-05	2.054327e-05	3.062312e-07	2.000000e+02
1.500622e-05	2.054327e-05	3.062312e-07	4.000000e+02
1.515773e-05	2.054327e-05	3.062312e-07	2.000000e+02
1.530925e-05	2.054327e-05	3.062312e-07	0.000000e+00
1.546077e-05	2.054327e-05	3.062312e-07	2.000000e+02
1.561228e-05	2.054327e-05	3.062312e-07	2.000000e+02
1.576380e-05	2.054327e-05	3.062312e-07	4.000000e+02
1.591531e-05	2.054327e-05	3.062312e-07	0.000000e+00
1.606683e-05	2.054327e-05	3.062312e-07	2.000000e+02
1.621834e-05	2.054327e-05	3.062312e-07	2.000000e+02
1.218341e-06	2.069478e-05	3.062312e-07	0.000000e+00
1.369856e-06	2.069478e-05	3.062312e-07	0.000000e+00
1.521371e-06	2.069478e-05	3.062312e-07	2.000000e+02
1.672886e-06	2.069478e-05	3.062312e-07	2.000000e+02
1.824401e-06	2.069478e-05	3.062312e-07	4.000000e+02
1.975917e-06	2.069478e-05	3.062312e-07	0.000000e+00
2.127432e-06	2.069478e-05	3.062312e-07	4.000000e+02
2.278947e-06	2.069478e-05	3.062312e-07	4.000000e+02
2.430462e-06	2.069478e-05	3.062312e-07	0.000000e+00
2.581977e-06	2.069478e-05	3.062312e-07	2.000000e+02
2.733492e-06	2.069478e-05	3.062312e-07	4.000000e+02
2.885008e-06	2.069478e-05	3.062312e-07	6.000000e+02
3.036523e-06	2.069478e-05	3.062312e-07	4.000000e+02
3.188038e-06	2.069478e-05	3.062312e-07	8.000000e+02
3.339553e-06	2.069478e-05	3.062312e-07	0.000000e+00
3.491068e-06	2.069478e-05	3.062312e-07	1.200000e+03
3.642583e-06	2.069478e-05	3.062312e-07	4.000000e+02
3.794098e-06	2.069478e-05	3.062312e-07	4.000000e+02
3.945614e-06	2.069478e-05	3.062312e-07	2.000000e+02
4.097129e-06	2.069478e-05	3.062312e-07	1.000000e+03
4.248644e-06	2.069478e-05	3.062312e-07	2.000000e+02
4.400159e-06	2.069478e-05	3.062312e-07	8.000000e+02
4.551674e-06	2.069478e-05	3.062312e-07	1.200000e+03
4.703189e-06	2.069478e-05	3.062312e-07	1.000000e+03
4.854705e-06	2.069478e-05	3.062312e-07	1.000000e+03
5.006220e-06	2.069478e-05	3.062312e-07	1.800000e+03
5.157735e-06	2.069478e-05	3.062312e-07	3.200000e+03
5.309250e-06	2.069478e-05	3.062312e-07	3.200000e+03
5.460765e-06	2.069478e-05	3.062312e-07	3.200000e+03
5.612280e-06	2.069478e-05	3.062312e-07	6.000000e+02
5.763795e-06	2.069478e-05	3.062312e-07	1.600000e+03
5.915311e-06	2.069478e-05	3.062312e-07	6.000000e+02
6.066826e-06	2.069478e-05	3.062312e-07	1.200000e+03
6.218341e-06	2.069478e-05	3.062312e-07	8.000000e+02
6.369856e-06	2.069478e-05	3.062312e-07	1.200000e+03
6.521371e-06	2.069478e-05	3.062312e-07	8.000000e+02
6.672886e-06	2.069478e-05	3.062312e-07	1.400000e+03
6.824401e-06	2.069478e-05	3.062312e-07	6.000000e+02
6.975917e-06	2.069478e-05	3.062312e-07	1.000000e+03
7.127432e-06	2.069478e-05	3.062312e-07	1.600000e+03
7.278947e-06	2.069478e-05	3.062312e-07	1.600000e+03
7.430462e-06	2.069478e-05	3.062312e-07	6.000000e+02
7.581977e-06	2.069478e-05	3.062312e-07	1.000000e+03
7.733492e-06	2.069478e-05	3.062312e-07	1.800000e+03
7.885008e-06	2.069478e-05	3.062312e-07	6.000000e+02
8.036523e-06	2.069478e-05	3.062312e-07	2.600000e+03
8.188038e-06	2.069478e-05	3.062312e-07	2.400000e+03
8.339553e-06	2.069478e-05	3.062312e-07	2.600000e+03
8.491068e-06	2.069478e-05	3.062312e-07	2.800000e+03
8.642583e-06	2.069478e-05	3.062312e-07	2.000000e+03
8.794098e-06	2.069478e-05	3.062312e-07	3.200000e+03
8.945614e-06	2.069478e-05	3.062312e-07	1.800000e+03
9.097129e-06	2.069478e-05	3.062312e-07	1.800000e+03
9.248644e-06	2.069478e-05	3.062312e-07	1.200000e+03
9.400159e-06	2.069478e-05	3.062312e-07	1.600000e+03
9.551674e-06	2.069478e-05	3.062312e-07	8.000000e+02
9.703189e-06	2.069478e-05	3.062312e-07	1.400000e+03
9.854705e-06	2.069478e-05	3.062312e-07	1.000000e+03
1.000622e-05	2.069478e-05	3.062312e-07	1.000000e+03
1.015773e-05	2.069478e-05	3.062312e-07	1.000000e+03
1.030925e-05	2.069478e-05	3.062312e-07	1.800000e+03
1.046077e-05	2.069478e-05	3.062312e-07	1.200000e+03
1.061228e-05	2.069478e-05	3.062312e-07	2.200000e+03
1.076380e-05	2.069478e-05	3.062312e-07	3.000000e+03
1.091531e-05	2.069478e-05	3.062312e-07	2.600000e+03
1.106683e-05	2.069478e-05	3.062312e-07	4.200000e+03
1.121834e-05	2.069478e-05	3.062312e-07	2.200000e+03
1.136986e-05	2.069478e-05	3.062312e-07	3.400000e+03
1.152137e-05	2.069478e-05	3.062312e-07	3.200000e+03
1.167289e-05	2.069478e-05	3.062312e-07	1.400000e+03
1.182440e-05	2.069478e-05	3.062312e-07	4.000000e+02
1.197592e-05	2.069478e-05	3.062312e-07	0.000000e+00
1.212743e-05	2.069478e-05	3.062312e-07	4.000000e+02
1.227895e-05	2.069478e-05	3.062312e-07	1.000000e+03
1.243046e-05	2.069478e-05	3.062312e-07	0.000000e+00
1.258198e-05	2.069478e-05	3.062312e-07	2.000000e+02
1.273349e-05	2.069478e-05	3.062312e-07	6.000000e+02
1.288501e-05	2.069478e-05	3.062312e-07	2.000000e+02
1.303652e-05	2.069478e-05	3.062312e-07	2.000000e+02
1.318804e-05	2.069478e-05	3.062312e-07	0.000000e+00
1.333955e-05	2.069478e-05	3.062312e-07	6.000000e+02
1.349107e-05	2.069478e-05	3.062312e-07	4.000000e+02
1.364258e-05	2.069478e-05	3.062312e-07	0.000000e+00
1.379410e-05	2.069478e-05	3.062312e-07	6.000000e+02
1.394561e-05	2.069478e-05	3.062312e-07	0.000000e+00
1.409713e-05	2.069478e-05	3.062312e-07	0.000000e+00
1.424864e-05	2.069478e-05	3.062312e-07	0.000000e+00
1.440016e-05	2.069478e-05	3.062312e-07	4.000000e+02
1.455167e-05	2.069478e-05	3.062312e-07	4.000000e+02
1.470319e-05	2.069478e-05	3.062312e-07	1.000000e+03
1.485470e-05	2.069478e-05	3.062312e-07	0.000000e+00
1.500622e-05	2.069478e-05	3.062312e-07	2.000000e+02
1.515773e-05	2.069478e-05	3.062312e-07	4.000000e+02
1.530925e-05	2.069478e-05	3.062312e-07	0.000000e+00
1.546077e-05	2.069478e-05	3.062312e-07	0.000000e+00
1.561228e-05	2.069478e-05	3.062312e-07	4.000000e+02
1.576380e-05	2.069478e-05	3.062312e-07	0.000000e+00
1.591531e-05	2.069478e-05	3.062312e-07	4.000000e+02
1.606683e-05	2.069478e-05	3.062312e-07	2.000000e+02
1.621834e-05	2.069478e-05	3.062312e-07	2.000000e+02
1.218341e-06	2.084630e-05	3.062312e-07	6.000000e+02
1.369856e-06	2.084630e-05	3.062312e-07	2.000000e+02
1.521371e-06	2.084630e-05	3.062312e-07	4.000000e+02
1.672886e-06	2.084630e-05	3.062312e-07	2.000000e+02
1.824401e-06	2.084630e-05	3.062312e-07	4.000000e+02
1.975917e-06	2.084630e-05	3.062312e-07	2.000000e+02
2.127432e-06	2.084630e-05	3.062312e-07	0.000000e+00
2.278947e-06	2.084630e-05	3.062312e-07	2.000000e+02
2.430462e-06	2.084630e-05	3.062312e-07	0.000000e+00
2.581977e-06	2.084630e-05	3.062312e-07	2.000000e+02
2.733492e-06	2.084630e-05	3.062312e-07	0.000000e+00
2.885008e-06	2.084630e-05	3.062312e-07	6.000000e+02
3.036523e-06	2.084630e-05	3.062312e-07	4.000000e+02
3.188038e-06	2.084630e-05	3.062312e-07	0.000000e+00
3.339553e-06	2.084630e-05	3.062312e-07	2.000000e+02
